female;Livia;Marcelo;Genova;41;B+;General manager
female;Sofia;Trevisan;Saiano;60;O+;Television camera operator
female;Mara;Ricci;Palmoli;52;O+;Central office operator
female;Franca;Pirozzi;Calisese;32;O+;Social worker
male;Anastasio;Fiorentini;Cubante;75;A+;Administrative specialist
male;Vittore;Castiglione;Poggio Filippo;68;O+;Career-technical teacher
female;Verdiana;Piccio;Villanova Biellese;83;A+;Museum technician
female;Teresa;Lo Duca;San Marco Di Montefalco;37;B+;Meat packer
male;Publio;Piccio;Bedero Valcuvia;52;A+;Automotive glass repairer
female;Donatella;Pagnotto;Cagliari;46;A+;Poultry scientist
female;Pia;Longo;Malafrasca;81;B-;Paper goods machine setter
male;Arcangelo;Beneventi;Vastogirardi;24;O+;Control and valve repairer
female;Candida;Lucchese;Contrada;28;O+;Staff assistant
female;Pasqualina;Palerma;Trevozzo;43;B+;College counselor
female;Assunta;Russo;Perticani;51;A+;Fisher
male;Davide;Angelo;Torriglia;64;AB+;Ultrasound technologist
female;Olga;Dellucci;Monte Giberto;21;O+;Aircraft electronics specialist
male;Alessandro;Trentini;Cura;71;A+;Sawing machine operator
female;Natalina;Genovesi;Cologna Veneta;21;A+;Mortician
female;Camelia;Cattaneo;Norcen;80;O+;High school counselor
female;Rossana;Cremonesi;Titignano;23;O+;Stock clerk
male;Lorenzo;Calabrese;Genova;34;O+;University instructor
female;Albertina;Milano;Centa San Nicolo;53;A+;Financial economist
female;Alfonsina;Romani;Sant'Eufemia Di Lamezia Terme;44;A+;Counter attendant
male;Rinaldo;Toscano;Sommariva Perno;65;O+;Law clerk
female;Giuditta;Milanesi;Laipacco;84;B+;Stonemason
female;Rosa;Rossi;Ferrere D'Asti;82;O-;Paleontologist
male;Chiaffredo;Napolitani;Torino;85;A+;Geological technician
male;Alvise;Iadanza;Civita Di Oricola;60;O+;Bartender
female;Mafalda;Pagnotto;Civitella Cesi;53;A+;Loan officer
male;Manfredo;Trentini;Brescia;82;O+;Payroll bookkeeper
female;Viviana;Trevisano;Anterselva;31;B+;Cooling and freezing equipment operator
male;Ciriaco;Romano;Tresana;81;A-;Service unit operator
female;Selene;Bellucci;Ozzero;25;O+;Passenger service agent
male;Andrea;Folliero;Villaggi;30;A+;Real estate closer
male;Carmen;Dellucci;Perugia;70;B+;Heavy vehicle and mobile equipment mechanic
male;Libero;Ferrari;Oneta;68;B+;Health care translator
female;Flora;Endrizzi;Lambrugo;79;O+;Playwright
female;Adolfa;Palerma;Castel Gabbiano;48;B+;Pediatric dentist
female;Irma;Cocci;Villa Verde;65;A+;Technical recruiter
male;Angelico;Lucchesi;Sona;48;B+;Time clerk
female;Gioia;Pinto;Tavoleto;82;B+;Staffing consultant
male;Liberato;Bruno;Joppolo Giancaxio;54;B+;Biological scientist
male;Claudio;De Luca;Montenero Sabino;48;O+;Nutritionist
female;Norma;Boni;Mandello Vitta;80;O+;Merchant marine officer
female;Loredana;Buccho;Viddalba;80;O+;Computer control programmer
male;Cosma;Iadanza;Tramin an der Weinstrasse;71;B+;Health physicist
male;Ambrosino;Trevisano;Valledoria;74;O+;Composing machine operator
female;Cassandra;Ferrari;Pitelli;28;O-;Fork lift driver
male;Fosco;De Luca;Morrovalle;63;B+;Forester
female;Fiammetta;Padovesi;Vigo Rendena;69;O+;Petroleum engineer
female;Licia;Arcuri;Pornello;58;O-;Emergency and disaster response worker
female;Alma;Bergamaschi;Torre De' Picenardi;70;O+;Fence erector
male;Ulderico;DeRose;Marina Di Savelletri;25;O+;News analyst
male;Patrizio;Davide;Diecimo;83;O+;Obstetrician
male;Abramo;Longo;Baio Dora;59;O+;Engineering geologist
female;Maria Grazia;Mazzi;Pianoro Vecchio;69;A+;General manager
male;Severino;DeRose;Pegli;47;A+;Data entry keyer
female;Isabella;Pinto;Pozzo Camacici;61;B+;Recruitment manager
male;Callisto;Esposito;Montebuono;28;B+;Drilling and boring machine tool setter
female;Annunziata;Romano;Prasco;60;O+;Localization translator
male;Taziano;DeRose;Firenze;78;B+;President
male;Manuele;Mazzanti;Orune;31;B+;Title examiner
male;Alberico;Mazzi;Forni Avoltri;36;O+;Optical goods worker
male;Gianfranco;Davide;Conza Della Campania;54;A+;Software quality assurance analyst
female;Susanna;Pisani;Dogliani;28;A+;Administrator
female;Sofia;Udinesi;Sanguinetto;74;B+;Journalist
male;Chiaffredo;Marcelo;Monale;76;O+;Linemen
male;Santo;Baresi;San Pellegrinetto;21;A+;Public affairs specialist
female;Lelia;Cremonesi;San Basilio;69;O+;Reinforcing iron and rebar worker
female;Priscilla;Rizzo;Curti;34;B+;Farm equipment mechanic
female;Deborah;Mazzi;Proceno;35;A+;Railroad engineer
female;Fiorenza;Trentino;San Rocco In Turrite;24;O+;Printmaker
female;Marcella;Bellucci;Borgata Mezzanone;77;O+;Guidance counselor
male;Aleandro;Castiglione;Pianopoli;59;O+;Health care administrator
female;Leda;Lucciano;Castelletto D'Erro;39;A+;Pest control technician
female;Marisa;Fiorentini;Panicarola;60;B+;Medical equipment preparer
male;Alvise;Nucci;Castelluccio Dei Sauri;66;O+;Secretarial assistant
female;Gerardina;Trevisano;Rocca Pietore;28;B+;Cardiographer
female;Isotta;Greece;Piozzo;27;O+;Division secretary
female;Roberta;Capon;Santa Maria Della Versa;38;O+;Electronic typesetting machine operator
female;Bellina;Cattaneo;Grazzano Badoglio;47;O+;Ticket agent
female;Marta;Endrizzi;Molten;30;B+;Erector
female;Vittoria;Angelo;Poggio Fidoni;77;O+;Elevator repairer
female;Giusy;Moretti;Colledimacine;75;A-;Conservator
male;Caio;Pirozzi;San Benedetto;58;O+;Admissions officer
male;Adelmo;Marino;Marchesa;29;O+;Instructional specialist
male;Adalgiso;Zetticci;Sillano;23;O+;Maintenance technician
male;Giraldo;Fiorentini;Vada;45;B+;Technician
female;Carmela;Castiglione;Purgatorio;26;A+;Biostatistician
male;Gerardo;Lori;Li Teggi;44;B+;Web publications designer
male;Crispino;Fanucci;Dodici Morelli;75;O+;Process technician
